Level,Type,Name,Catalog Number,Amount,Price,Amount,Total,Company,Vender,Status,Grant,URL
Electronics 2,Supply,"CARTRIDGE FUSE, FAST ACTING, 1.6A, 500V",2816958,1, ¥800 ,5," ¥4,000 ",Littelfuse,Farnell,ordered,Kyoka B,http://www.icbroker-japan.com/051401-6MXP/unclassified/0/ID_JA/9667936
Electronics 2,Supply,"Solid State Relay, 4 A, 460 V, PCB, Through Hole, Zero Crossing",2251792,1," ¥2,600 ",4," ¥10,400 ",Celduc,Farnell,ordered,Kyoka B,https://uk.farnell.com/celduc/ska10440/ssr-2-5-10v-4a/dp/2251792?ost=SKA10440
Electronics 2,Supply,"Isolation Transformer, Control, 400 VA, 2 x 115V",1177121,1," ¥13,500 ",2," ¥27,000 ",Block,Farnell,ordered,Kyoka B,http://www.icbroker-japan.com/USTE400-2X115/transformer/isolation/ID_JA/3098778
Electronics 2,Supply,SY型アルミパネルプラスチックケース,SY-190G,1," ¥1,390 ",1," ¥1,390 ",タカチ電機工業,Monotaro,ordered,Kyoka B,https://www.monotaro.com/g/02584983/
Electronics 2,Supply,ボルトスライダー,V-130-3,1," ¥9,690 ",1," ¥9,690 ",山菱電機,Monotaro,ordered,Kyoka B,https://www.monotaro.com/g/00260786/
Electronics 4,Supply,フラットケーブルブリッジタイプ,KFX-10(B),10," ¥1,290 ",1," ¥1,290 ",ノーブランド,Monotaro,should be ordered,Kyoka B,https://www.monotaro.com/g/00265023/?t.q=%83%8A%83%7B%83%93%83P%81%5B%83u%83%8B
Electronics 4,Supply,フラットケーブルブリッジタイプ,KFX-20(B),10," ¥2,190 ",1," ¥2,190 ",ノーブランド,Monotaro,should be ordered,Kyoka B,https://www.monotaro.com/g/00265023/?t.q=%83%8A%83%7B%83%93%83P%81%5B%83u%83%8B
Electronics 4,Supply,フラットケーブルブリッジタイプ,KFX-40(B),10," ¥4,390 ",1," ¥4,390 ",ノーブランド,Monotaro,should be ordered,Kyoka B,https://www.monotaro.com/g/00265023/?t.q=%83%8A%83%7B%83%93%83P%81%5B%83u%83%8B
Electronics 4,Supply,可動電源用ケーブル 600V UL・CSA規格,MRC UL2501,5," ¥7,490 ",1," ¥7,490 ",阪神電線,Monotaro,should be ordered,Kyoka B,https://www.monotaro.com/g/00402892/
Electronics 4,Supply,600V 可動電源用ケーブル,VCT-531BX 3C×0.75SQ,5," ¥3,890 ",1," ¥3,890 ",倉茂電工,Monotaro,should be ordered,Kyoka B,https://www.monotaro.com/g/00963476/
Electronics 4,Supply,600V ビニルキャブタイヤケーブル,VCT(灰) 0.75SQx3C,20," ¥2,510 ",1," ¥2,510 ",三ツ星,Monotaro,should be ordered,Kyoka B,https://www.monotaro.com/g/00536438/
Electronics 2,Supply,片面ガラス・ユニバーサル基板Ａタイプ２．５４ｍｍピッチ（１５５ｘ１１４ｍｍ）,P-04708,1, ¥300 ,3, ¥900 ,,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-04708/
Electronics 2,Supply,カーボン抵抗（炭素皮膜抵抗）　１／２Ｗ全部入り　（７３種類０Ω付）,R-07791,1," ¥5,700 ",1," ¥5,700 ",,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gR-07791
Electronics 2,Supply,不燃性酸化金属皮膜抵抗　３Ｗ１００ｋΩ,R-11026,1, ¥20 ,10, ¥200 ,,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gR-11026/
Electronics 2,Supply,ターミナルブロック　３ピン（青）（斜め）,P-06306,1, ¥60 ,6, ¥360 ,Alphaplus Connectors & Cables Corp.,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-06306/
Electronics 2,Supply,ターミナルブロック　３ピン（緑）（縦）,P-01310,1, ¥30 ,6, ¥180 ,Alphaplus Connectors & Cables Corp.,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-01310/
Electronics 2,Supply,ターミナルブロック３Ｐ黒・縦・大,P-08368,1, ¥30 ,6, ¥180 ,Phenix contact,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-08368/
Electronics 2,Supply,トランジスタ　２Ｎ３９０４　（２０個入）,I-05962,1, ¥100 ,5, ¥500 ,On Semiconductor,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gI-05962/
Electronics 2,Supply,５ｍｍ黄緑色ＬＥＤ　ＯＳＮＧ５１１３Ａ　（１００個入）,I-00625,100, ¥500 ,1, ¥500 ,OptoSupply,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gI-00625/
Electronics 2,Supply,５ｍｍ赤色ＬＥＤ　ＯＳＤＲ５１１３Ａ（１００個入）,I-00624,100, ¥400 ,1, ¥400 ,OptoSupply,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gI-00624/
Electronics 2,Supply,５ｍｍ黄色ＬＥＤ　ＯＳＹＬ５１１３Ａ　（１００個入）,I-00626,100, ¥400 ,1, ¥400 ,OptoSupply,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gI-00626/
Electronics 2,Supply,六角オネジ・メネジ　ＭＢ３－１５,P-07320,1, ¥30 ,12, ¥360 ,MYG,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-07320/
Electronics 2,Supply,六角両メネジ　ＦＢ３－１５,P-07314,1, ¥30 ,12, ¥360 ,MYG,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-07314/
Electronics 2,Supply,ガラス管ヒューズ　ＭＦ６１ＮＲ　２５０Ｖ２Ａ　３２ｍｍ,P-07136,1, ¥30 ,10, ¥300 ,大東通信機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-07136/
Electronics 2,Supply,ヒューズホルダー（基板取付用）　ＭＦ－５０５,P-09745,1, ¥30 ,3, ¥90 ,大東通信機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-09745/
Electronics 2,Supply,ガラス管ヒューズ　ＭＦ５１ＮＲ　２５０Ｖ２Ａ　２０ｍｍ,P-07130,1, ¥30 ,10, ¥300 ,大東通信機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-07130/
Electronics 2,Supply,ヒューズホルダー　基板用　ミゼットタイプ,P-10521,1, ¥20 ,6, ¥120 ,大東通信機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-10521/
Electronics 2,Supply,ＢＮＣコネクタ　ＢＮＣ－Ｊ　メス　丸座絶縁,C-00093,1, ¥100 ,10," ¥1,000 ",Cosmtec,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-00093/
Electronics 2,Supply,バナナジャック（赤色）　ＭＫ－６２８－０,C-10120,1, ¥40 ,10, ¥400 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-10120/
Electronics 2,Supply,バナナジャック（黒色）　ＭＫ－６２８－１,C-10121,1, ¥40 ,10, ¥400 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-10121/
Electronics 2,Supply,２．１ｍｍ標準ＤＣジャック　パネル取付用　ＭＪ－１４,C-06342,1, ¥60 ,5, ¥300 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-06342/
Electronics 2,Supply,２．１ｍｍ標準ＤＣジャック　パネル取付用　ＭＪ－１０,C-00076,1, ¥40 ,5, ¥200 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-00076/
Electronics 2,Supply,２．１ｍｍ標準ＤＣプラグ　ＭＰ１２１Ｃ　内径２．１ｍｍ外径５．５ｍｍ,C-02108,1, ¥60 ,5, ¥300 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-02108/
Electronics 2,Supply,テストピンジャック（赤）　ＭＫ－６１７－０,C-07077,1, ¥25 ,10, ¥250 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-07077/
Electronics 2,Supply,テストピンジャック（黒）　ＭＫ－６１７－１,C-07078,1, ¥25 ,10, ¥250 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-07078/
Electronics 2,Supply,皿小ねじ（＋）　Ｍ３×６　（１０個入）,P-10246,10, ¥50 ,2, ¥100 ,,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-10246/
Electronics 2,Supply,なべ小ねじ（＋）　Ｍ３×１０（１００個入）,P-10253,100, ¥400 ,1, ¥400 ,,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-10253/
Electronics 2,Supply,ＡＣインレット（ＡＣプラグ）　ＡＣ－１１０,C-09509,1, ¥60 ,2, ¥120 ,,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-09509/
Electronics 2,Supply,ＡＣインレット（ＡＣプラグ）　ＡＣ－１１３,C-09510,1, ¥40 ,2, ¥80 ,,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-09510/
Electronics 2,Supply,２Ｐ－３Ｐアース付ＡＣコード,C-01862,1, ¥300 ,4," ¥1,200 ",,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-01862/
Electronics 2,Supply,バナナプラグ（赤色）　ＭＫ－６２１－０,C-10116,1, ¥45 ,10, ¥450 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-10116/
Electronics 2,Supply,バナナプラグ（黒色）　ＭＫ－６２１－１,C-10117,1, ¥45 ,10, ¥450 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-10117/
Electronics 2,Supply,耐熱通信機器用ビニル電線　２ｍ×１０色　導体径０．６５ｍｍ　単芯,P-08996,1, ¥620 ,2," ¥1,240 ",協和ハーモネット,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-08996/
Electronics 2,Supply,２種ポリウレタン銅線　２ＵＥＷ　０．４ｍｍ　１０ｍ,P-13709,1, ¥180 ,5, ¥900 ,協和ハーモネット,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-13709/
Electronics 2,Supply,ポリウレタン銅線（０．８ｍｍ　１０ｍ）,P-09584,1, ¥290 ,5," ¥1,450 ",協和ハーモネット,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-09584/
Electronics 2,Supply,熱収縮チューブ（スミチューブＣ　黒）　Φ１．５×０．２×１ｍ,P-06788,1, ¥40 ,10, ¥400 ,住友電工ファインポリマー,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-06788/
Electronics 2,Supply,熱収縮チューブ（スミチューブＣ　黒）　Φ３×０．２×１ｍ,P-06789,1, ¥40 ,10, ¥400 ,住友電工ファインポリマー,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-06789/
Electronics 2,Supply,耐熱電子ワイヤー　赤色　２０ｍ　導体外径０．３６ｍｍ（ＡＷＧ２８相当）,P-11608,1, ¥630 ,1, ¥630 ,住友電気工業,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-11608/
Electronics 2,Supply,耐熱電子ワイヤー　黒色　２０ｍ　導体外径０．３６ｍｍ（ＡＷＧ２８相当）,P-11609,1, ¥630 ,1, ¥630 ,住友電気工業,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-11609/
Electronics 2,Supply,コネクタ付コード２Ｐ（ＸＡ）　（赤白）,C-09402,1, ¥40 ,25," ¥1,000 ",,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-09402/
Electronics 2,Supply,ＸＨコネクタ　ベース付ポスト　トップ型　２Ｐ　Ｂ２Ｂ－ＸＨ－Ａ（ＬＦ）（ＳＮ）,C-12247,1, ¥10 ,50, ¥500 ,JST,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-12247/
Electronics 2,Supply,ＸＨコネクタ　ハウジング　２Ｐ　ＸＨＰ－２,C-12255,1, ¥5 ,50, ¥250 ,JST,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-12255/
Electronics 2,Supply,ＸＨコネクタ　ハウジング用コンタクト　ＳＸＨ－００１Ｔ－Ｐ０．６　（１００個入）,C-12265,1, ¥300 ,1, ¥300 ,JST,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-12265/
Electronics 2,Supply,３Ｐトグルスイッチ　１回路２接点,P-03774,1, ¥80 ,5, ¥400 ,Cosland,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-03774/
Electronics 2,Supply,ブラケット入ＬＥＤ（赤凸タイプ）,I-00045,1, ¥100 ,5, ¥500 ,豊田電子,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gI-00045/
Electronics 2,Supply,ブラケット入ＬＥＤ（緑凸タイプ）,I-00047,1, ¥100 ,5, ¥500 ,豊田電子,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gI-00047/
Electronics 2,Supply,汎用整流用ダイオード（６００Ｖ１Ａ）１Ｎ４００５（２５０本入）,I-04244,250, ¥750 ,1, ¥750 ,Panjit,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gI-04244/
